0321S,         0,         0,    335.48,       230,W    ,30/06/07
0442S,   2234.72,   -234.12,   1325.34,       450,M    ,31/02/07
0034S,   3421.44,   9254.98,   2357.39,      1520,E    ,31/01/07
0248S,  12326.82,  26246.48,   5436.61,      1234,W    ,30/05/07
,,,,,,
0052S,  12349.32,  12435.67,    1249.2,       340,W    ,
0342S,  -2243.84,  32134.37,   1123439,      2450,L    ,31/04/07

0042S,   1249.32,     345.4,         0,      1234,J    ,31/05/07
0024S, -12346.12,  23562.54,   2345.55,       450,W    ,31/06/07
wrong,    number,        of,    values
